Year,"Coal rents (as % of GDP)","Mineral rents (as % of GDP)","Oil rents (as % of GDP)","Natural gas rents (as % of GDP)","Mineral rents (as % of GDP)","GDP (current USD)","Official exchange rate (INR per USD)","Mineral rents (current INR)","Population","Mineral rents (current INR per capita)","Inflation, consumer prices (annual %)",Price Level,"Mineral rents (2021 INR per capita)"
1971,0.2149198271,0.2377490221,0.08721823281,0.008992619618,0.5488797016,67350988021,7.491935231,2769587915,569999178,4.858933173,3.079938684,1,197.2176724
1972,0.2347504322,0.2211884013,0.07842050653,0.007567104626,0.5419264447,71463193831,7.594468374,2941170110,582837973,5.046291158,6.442097462,1.064420975,192.4260139
1973,0.2463836784,0.1892172288,0.07742703598,0.006534804364,0.5195627475,85515269585,7.742038562,3439830192,596107483,5.770486515,16.94081598,1.244742573,188.1645428
1974,0.4699796756,0.2378798444,0.4269307782,0.008236819233,1.143027117,99525899116,8.101603227,9216448772,609721951,15.11582248,28.59873408,1.600723192,383.2837867
1975,1.175098684,0.3310534985,0.5348834111,0.01427273706,2.05530833,98472796457,8.375891946,16952131782,623524219,27.18760758,5.748430298,1.692739649,651.9071268
1976,1.221466487,0.4751238235,0.6132694591,0.0190834898,2.328943259,102717164466,8.960412728,21435318663,637451448,33.62659028,-7.633947634,1.56351679,872.9415906
1977,1.060955087,0.40615348,0.6779708253,0.01964611978,2.164725512,121487322476,8.738576171,22981293659,651685628,35.26438619,8.307470092,1.69340548,845.2404466
1978,0.8328416781,0.2609543152,0.6750791335,0.01385450982,1.782729637,137300295313,8.192840348,20053558428,666267760,30.09834729,2.523048757,1.736130926,703.663588
1979,0.7556883598,0.2910137884,1.566389692,0.009739946967,2.622831787,152991653794,8.125790946,32606472874,681248383,47.86282608,6.275683368,1.845085006,1052.899359
1980,0.9198478348,0.2954816484,0.9854728234,0.01049375611,2.211296063,186325345087,7.862944701,32396944228,696828385,46.4919985,11.34607348,2.054429706,918.5267988
1981,1.436884734,0.289870231,1.605864154,0.001826799589,3.334445919,193490610030,8.658522817,55863401687,712869298,78.36415714,13.1125469,2.323817765,1368.737929
1982,1.561720862,0.3498921205,1.3623947,0,3.274007682,200715145363,9.455131933,62133730819,729169466,85.21164656,7.890742794,2.507184248,1379.486992
1983,0.9766007274,0.2536376808,1.722101137,0.00919171338,2.961531259,218262273407,10.09889824,65278323434,745826546,87.52480558,11.8680813,2.804738912,1266.612056
1984,0.8782315423,0.2548709492,1.727946496,0.003644680909,2.864693668,212158234167,11.36258333,69058185241,762895156,90.52120032,8.318907119,3.038062537,1209.368068
1985,0.8788077266,0.2513882805,2.021712477,0.00413947241,3.156047957,232511877842,12.36875,90764192657,780242084,116.3282454,5.556424232,3.20687018,1472.342001
1986,0.67495795,0.2405812875,0.9070338657,0.02076570112,1.843338804,248985994041,12.61083333,57879379881,797878993,72.54155127,8.729720727,3.486820991,844.4269579
1987,0.4145008954,0.1916548937,1.088448503,0.0229408449,1.717545137,279033584092,12.9615,62118348478,815716125,76.15191925,8.801125813,3.793700494,814.7468967
1988,0.5256825451,0.2548324957,0.8164410069,0.02142642412,1.618382472,296588994812,13.91708333,66801224895,833729681,80.12336183,9.383471862,4.149681312,783.6990512
1989,0.6930997169,0.3216813911,1.330740205,0.04292174116,2.388443055,296042354985,16.2255,114727315156,852012673,134.6544703,7.074280029,4.443241388,1230.058512
1990,0.7680575005,0.304710792,1.729364462,0.05895994482,2.861092699,320979026420,17.5035,160743523377,870452165,184.6666937,8.971232503,4.841854904,1548.038315
1991,0.9742354986,0.2531427497,1.191952756,0.05665414374,2.475985148,270105341879,22.74243333,152096121264,888941756,171.0979603,13.87024618,5.513432099,1259.585651
1992,0.8405008225,0.3241657848,0.9613076585,0.0605820955,2.186556361,288208430384,25.91808333,163331608268,907574049,179.9650491,11.78781704,6.163345387,1185.158856
1993,0.6120507157,0.279107901,0.8595599532,0.07083832025,1.82155689,279296022988,30.49329167,155135717612,926351297,167.4696393,6.326890488,6.5532935,1037.245045
1994,0.5739751956,0.210288447,0.797027749,0.07847616397,1.659767556,327275583540,31.3737425,170422607010,945261958,180.2914055,10.24793556,7.224870795,1012.860985
1995,0.8637648037,0.2191733349,0.8658335209,0.08949941544,2.038271075,360281952717,32.42707667,238128977828,964279129,246.9502561,10.22488616,7.963605609,1258.649014
1996,0.7744285182,0.2336773044,0.9607644496,0.0972584774,2.06612875,392897054348,35.43317333,287637961593,983281218,292.5286849,8.977152338,8.678510616,1368.132509
1997,0.6638595227,0.2231901709,0.8509950973,0.08926823726,1.827313028,415867753864,36.31328583,275952126748,1002335230,275.3092164,7.164252115,9.300260997,1201.518651
1998,0.5291207767,0.3626477927,0.4297366935,0.1046936676,1.42619893,421351477505,41.259365,247940325651,1021434576,242.7373534,13.23083898,10.53076355,935.5815602
1999,0.3678189692,0.2668854312,0.7084303907,0.1214318102,1.464566601,458820417338,43.05542833,289320878919,1040500054,278.0594559,4.66982038,11.0225313,1023.908695
2000,0.4937685947,0.2614849867,1.198808969,0.1749082878,2.128970839,468394937262,44.941605,448157308618,1059633675,422.9360761,4.00943591,11.46447262,1497.357675
2001,0.8039177196,0.2811684183,0.8698711972,0.1530246045,2.10798194,485441014539,47.18641417,482858996786,1078970907,447.5180875,3.779293122,11.89774865,1526.689455
2002,0.5689976087,0.2735997244,0.8985159237,0.2285757276,1.969688984,514937948870,48.61031917,493038720258,1098313039,448.9054602,4.297152039,12.409013,1468.32621
2003,0.5737424614,0.2407921854,0.8603633593,0.2125333498,1.887431356,607699285434,46.58328417,534305930772,1117415123,478.1624302,3.805858995,12.88128254,1506.680775
2004,1.357852935,0.3043435484,1.060431238,0.2038894361,2.926517157,709148514805,45.31646667,940468627391,1136264583,827.6845388,3.767251735,13.36655288,2513.334685
2005,1.098395986,0.839983094,1.287808372,0.220626603,3.446814055,820381595513,44.099975,1247016234020,1154638713,1080.005564,4.24634362,13.93414264,3145.941507
2006,1.102748996,1.01880931,1.331468219,0.1986106576,3.651637182,940259888792,45.30700833,1555610681178,1172373788,1326.889681,5.796523376,14.74183848,3653.322999
2007,1.189002299,1.700496646,1.152146972,0.09888125694,4.140527174,1216735441525,41.34853333,2083108577171,1189691809,1750.964881,6.372881356,15.68131835,4532.102951
2008,2.844475013,2.279760691,1.584982711,0.1008247364,6.810043151,1198895582138,43.50518333,3551994026520,1206734806,2943.475243,8.349267049,16.9905935,7031.641825
2009,1.388132187,0.9363781603,0.6387931876,0.1398846004,3.103188136,1341886602799,48.40526667,2015656577939,1223640160,1647.262524,10.88235294,18.83956985,3548.92432
2010,1.633999337,1.513160869,0.8157472274,0.1580534696,4.120960902,1675615335601,45.72581212,3157433759950,1240613620,2545.058114,11.98938992,21.09831934,4896.150342
2011,2.00973995,1.423785414,1.348527058,0.1714103389,4.95346276,1823049927772,46.67046667,4214534454975,1257621191,3351.195483,8.911793365,22.97855796,5919.457327
2012,1.484484398,0.7656515224,1.313872082,0.150297037,3.71430504,1827637859506,53.43723333,3627535559194,1274487215,2846.270654,9.478996914,25.15669476,4592.271093
2013,1.212600352,0.8939515271,1.193354156,0.09350650658,3.393412541,1856722121394,58.59784542,3692029989380,1291132063,2859.529319,10.01787847,27.67686187,4193.557578
2014,0.9826069938,0.5363949621,0.9451929232,0.08446385471,2.548658734,2039127446299,61.02951446,3171728263238,1307246509,2426.266386,6.665656719,29.52170647,3335.814763
2015,0.7678695143,0.2859055105,0.3599407089,0.06891963439,1.482635368,2103587813813,64.15194446,2000805288747,1322866505,1512.477095,4.906973441,30.97032877,1982.201925
2016,0.8126947901,0.3566974637,0.2202979777,0.06076164302,1.450451875,2294797980509,67.19531281,2236591976897,1338636340,1670.79879,4.948216341,32.50280764,2086.45094
2017,0.9444804606,0.4577901088,0.3132252263,0.0616444208,1.777140216,2651472946375,65.12156865,3068553846038,1354195680,2265.960445,3.328173375,33.58455743,2738.530598
2018,1.161542809,0.4322848842,0.4466295947,0.06602389126,2.106481179,2702929718960,68.38946709,3893870968074,1369003306,2844.310858,3.938826467,34.90739486,3307.230948
2019,0.8316513479,0.6494516147,0.3050283158,0.07022568644,1.856356965,2831552222520,70.42034054,3701554843751,1383112050,2676.250882,3.729505735,36.20926816,2999.935926
2020,0.6999285723,0.6866233206,0.1443438685,0.06751429308,1.598410055,2667687951797,74.09956688,3159649431806,1396387127,2262.73171,6.623436776,38.60756614,2378.841694
2021,1.280291699,1.315223826,0.3256101941,0.07749370917,2.998619428,3176295065497,73.91801282,7040321199469,1407563842,5001.777532,5.131407472,40.58867767,5001.777531